"ad_date","campaign_id","adset_id","spend","impressions","reach","clicks","leads","value","url_parameters","total"
2021-11-30,+1TVQ0Ksk5C1R7k9dKSrpg==,kjdNzjgMLmHu9QXPlKaQHQ==,2686,5252,4624,13,,4058,utm_source=facebook&utm_medium=ppc&utm_campaign=cheap,
2022-04-12,pf4uuqaAAFuHa7gEJnQVKg==,+/ujgC+9ZiLznb2LxP6ihw==,25154,4578,16804,298,,31921,utm_source=facebook&utm_medium=ppc&utm_campaign=twitch,
2021-06-17,+1TVQ0Ksk5C1R7k9dKSrpg==,QBLf/5REFjL80pmdlrLGCw==,4242,6045,2323,97,0,5597,,
2022-01-31,h4hWTQf6icvBNjHfA+zKhw==,MVc+HmWqkmrlUI6Iyjdw4w==,1693,19554,3318,80,2,3383,utm_source=facebook&utm_medium=ppc&utm_campaign=%D1%82%D1%80%D0%B5%D0%BD%D0%B4,
2022-04-05,pf4uuqaAAFuHa7gEJnQVKg==,+/ujgC+9ZiLznb2LxP6ihw==,45152,19189,12587,244,7,53175,utm_source=facebook&utm_medium=ppc&utm_campaign=twitch,
2021-09-11,+1TVQ0Ksk5C1R7k9dKSrpg==,jKVwd+J2wdeRAmaZ/ibNHA==,5665,12784,13012,26,3,6140,utm_source=facebook&utm_medium=ppc&utm_campaign=hobby,
2021-08-12,FgcthDK8dH5eIxOj5go3CA==,omGufzlW6LYDzVB3CvxDlQ==,15337,151554,91668,1358,10,26722,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-10-28,+1TVQ0Ksk5C1R7k9dKSrpg==,jKVwd+J2wdeRAmaZ/ibNHA==,1351,2491,1206,21,0,2224,utm_source=facebook&utm_medium=ppc&utm_campaign=hobby,
2021-11-15,FgcthDK8dH5eIxOj5go3CA==,LYK3a9gdirWrWX/VHV9Khw==,2964,5250,2771,187,1,3813,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2022-06-01,wHoozjerL5GYr6gvvxnn1Q==,ETDduxyylf03B90ltrGKSg==,4733,28678,23582,166,3,4646,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2020-12-01,OL3wfqCd6TPOleVAcp2yew==,aS+Cy6Ne4nDFe/HabBjs0Q==,879,17468,7304,463,7,1354,utm_source=facebook&utm_medium=cpc&utm_campaign=discounts,
2021-06-12,yaS9WL9gilMlc/ztuJKtdw==,TcH4JjAaOH8sfVIQOYMuIg==,786,3440,3566,29,1,728,utm_source=facebook&utm_medium=ppc&utm_campaign=presents,
2021-02-06,OL3wfqCd6TPOleVAcp2yew==,aS+Cy6Ne4nDFe/HabBjs0Q==,1226,5852,8336,242,2,1290,utm_source=facebook&utm_medium=cpc&utm_campaign=discounts,
2021-08-16,"0c40WP42N3VsgjlJdjNGXA==",dfx+slA2Xx6Uvb5jbH/Xog==,1017,15372,18629,273,1,900,utm_source=facebook&utm_medium=ppc&utm_campaign=,
2022-06-06,wHoozjerL5GYr6gvvxnn1Q==,ETDduxyylf03B90ltrGKSg==,2963,9143,25076,193,3,4383,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2021-09-27,+1TVQ0Ksk5C1R7k9dKSrpg==,kjdNzjgMLmHu9QXPlKaQHQ==,5540,5105,10382,40,3,9511,utm_source=facebook&utm_medium=ppc&utm_campaign=cheap,
2021-12-02,FgcthDK8dH5eIxOj5go3CA==,omGufzlW6LYDzVB3CvxDlQ==,9532,22350,11245,316,4,8232,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-11-19,FgcthDK8dH5eIxOj5go3CA==,XYc+HmWqkmrlUI6Iyjdw4y==,10946,26520,73834,446,9,15493,utm_source=facebook&utm_medium=ppc&utm_campaign=%D1%82%D1%80%D0%B5%D0%BD%D0%B4,
2021-10-11,FgcthDK8dH5eIxOj5go3CA==,LYK3a9gdirWrWX/VHV9Khw==,1519,1741,2420,29,1,2463,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-08-07,FgcthDK8dH5eIxOj5go3CA==,LYK3a9gdirWrWX/VHV9Khw==,8506,18070,18446,188,6,13158,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-11-13,+1TVQ0Ksk5C1R7k9dKSrpg==,kjdNzjgMLmHu9QXPlKaQHQ==,791,1985,4933,14,1,700,utm_source=facebook&utm_medium=ppc&utm_campaign=cheap,
2021-09-17,+1TVQ0Ksk5C1R7k9dKSrpg==,kjdNzjgMLmHu9QXPlKaQHQ==,8169,9032,8271,38,2,10570,utm_source=facebook&utm_medium=ppc&utm_campaign=cheap,
2021-07-22,"0NN3/Q28t0sw9rVduSJU5A==",Mw9J34JDdWqKTcf39+5t/g==,4799,3797,5237,120,3,7309,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2022-03-21,pf4uuqaAAFuHa7gEJnQVKg==,eyiLXOBiNEWjXJF37q0CeA==,14342,6384,9715,51,3,16235,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,
2021-07-13,+1TVQ0Ksk5C1R7k9dKSrpg==,OWUAmZpRDMbW00J8WQh8UQ==,3823,12838,10998,33,3,3268,utm_source=facebook&utm_medium=ppc&utm_campaign=cheap,
2022-04-28,wHoozjerL5GYr6gvvxnn1Q==,"1KXJtup8qnApqauQIn/3ew==",4755,65625,23726,275,4,7714,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2021-09-03,"0c40WP42N3VsgjlJdjNGXA==",dfx+slA2Xx6Uvb5jbH/Xog==,911,19262,18001,318,6,1005,utm_source=facebook&utm_medium=ppc&utm_campaign=,
2022-03-25,pf4uuqaAAFuHa7gEJnQVKg==,eyiLXOBiNEWjXJF37q0CeA==,19775,5132,11780,31,1,32217,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,
2022-04-12,pf4uuqaAAFuHa7gEJnQVKg==,eyiLXOBiNEWjXJF37q0CeA==,34940,15532,18663,125,1,47854,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrade,
2022-04-30,wHoozjerL5GYr6gvvxnn1Q==,ETDduxyylf03B90ltrGKSg==,12116,72530,69334,437,3,9446,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2022-05-28,wHoozjerL5GYr6gvvxnn1Q==,ETDduxyylf03B90ltrGKSg==,7005,34109,31396,106,1,6704,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2021-09-09,FgcthDK8dH5eIxOj5go3CA==,omGufzlW6LYDzVB3CvxDlQ==,2633,18729,10998,187,7,4409,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2021-08-06,Kek1yMtTa5BOTQQs2/uEPg==,"58dwph29+BypIq4CYOMnwQ==",39949,41571,103042,298,9,56758,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-08-21,Kek1yMtTa5BOTQQs2/uEPg==,"58dwph29+BypIq4CYOMnwQ==",42480,31572,60022,658,11,60103,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2021-08-14,"0NN3/Q28t0sw9rVduSJU5A==",Mw9J34JDdWqKTcf39+5t/g==,1195,16303,14896,91,1,2729,utm_source=facebook&utm_medium=ppc&utm_campaign=discounts,
2022-02-05,h4hWTQf6icvBNjHfA+zKhw==,MVc+HmWqkmrlUI6Iyjdw4w==,1775,9732,7990,71,2,3426,utm_source=facebook&utm_medium=ppc&utm_campaign=%D1%82%D1%80%D0%B5%D0%BD%D0%B4,
2022-05-08,wHoozjerL5GYr6gvvxnn1Q==,ETDduxyylf03B90ltrGKSg==,3672,36950,87602,420,10,4890,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
2021-09-22,FgcthDK8dH5eIxOj5go3CA==,omGufzlW6LYDzVB3CvxDlQ==,1976,7551,7008,245,0,2196,utm_source=facebook&utm_medium=ppc&utm_campaign=you_might_like,
2022-04-06,pf4uuqaAAFuHa7gEJnQVKg==,BqE55OGr5fK+LnhF1uN6lA==,35271,18779,17390,333,2,47935,utm_source=facebook&utm_medium=ppc&utm_campaign=twitch,
2022-04-07,wHoozjerL5GYr6gvvxnn1Q==,"1KXJtup8qnApqauQIn/3ew==",5874,57359,26261,491,3,7993,utm_source=facebook&utm_medium=ppc&utm_campaign=upgrades,
