user_id,game_name,language,has_older_device_model,age
LuDHi0aoGmgpUtTGreh0fQ==,game 3,uk,TRUE,22
G9053rs6jbKItKUhrUdLew==,game 3,uk,FALSE,27
54ouP7lBhVCeV8ftS1Oj4Q==,game 3,ru,FALSE,21
ildaqkizLaFesmkjCvlzmQ==,game 3,uk,FALSE,24
ytNOQh7e6qNGQNC0T3RBxw==,game 3,ru,TRUE,26
4EiWC2ewiX2A7i9NuBAefQ==,game 3,uk,TRUE,18
VGEh7S+cxW9PT7H8KNgEGQ==,game 3,uk,FALSE,24
pz7LUOs9i7xgncmHVxQvOw==,game 3,ru,FALSE,24
GUNmu9bjwltT1/vYgzDEDQ==,game 3,uk,TRUE,16
BJlqmsfEshc/QjsD7VgEjg==,game 3,ru,FALSE,18
rw8yxS9+t5PvgINa7EhMvQ==,game 3,uk,TRUE,18
7Em69vKH6zh6HgArCzG0+w==,game 3,ru,FALSE,17
72brUr/DKItStlTen5pHYg==,game 3,uk,FALSE,24
I8yTxTfERu6jtLOfWB0dFQ==,game 3,ru,FALSE,33
PWvj9YoQTtX9FGLgG1CWJQ==,game 3,uk,FALSE,16
lx3SsUV7NOrv93tCexVp5A==,game 3,uk,FALSE,16
A6QTeGOKjaGkGkRCFqNybw==,game 3,ru,FALSE,33
2onLVyXEEj2aH+D4N9ldYQ==,game 3,uk,FALSE,16
to3TWHIKMGoINAlfTdWn+w==,game 3,uk,FALSE,28
Yh9mYycPmc8CH9Rbjhu3ZQ==,game 3,uk,FALSE,28
LO9NuZYI6zP2HXEBAS4wpw==,game 3,uk,FALSE,23
d7kiN4CYGndV2/L4yQeZ4g==,game 3,ru,FALSE,19
jM8s8LsWXTBSKnIgg7UVjQ==,game 3,uk,FALSE,30
WAdVK2sJHdBL0bCFyVa0ww==,game 3,uk,FALSE,14
cjAwQwy//1xm2O5pNRveqw==,game 3,ru,FALSE,22
q+yzIb2a/avnS9k89SDQVw==,game 3,uk,TRUE,19
BH4aptg763J0WNnw0OS9hw==,game 3,ru,FALSE,18
IdKyooyTjAbvCA7p+ujKCw==,game 3,uk,FALSE,19
+XPKfmhBmI2NdGQ96Iaysg==,game 3,uk,FALSE,38
29qvbD06oXdmg5G7X/Wigw==,game 3,uk,FALSE,17
75lEf3nSWLSf6GncqhR9gQ==,game 3,ru,FALSE,22
Grpkzd4XIHh+ZbTMNxnUGg==,game 3,ru,FALSE,30
Jp0hnV9XOJGVV5jpFhlqgQ==,game 3,uk,FALSE,25
WHwqHTWZHdOrSBFh/vackQ==,game 3,uk,FALSE,18
unoAVprNoepzjDQwQzWj6A==,game 3,uk,FALSE,15
UdsILd3VPsla6C2r+wytbA==,game 3,uk,FALSE,31
9IWUQ1iWPfYSSN2tWuVqMQ==,game 3,ru,FALSE,24
3rCdNEPkh3vwmYB0BVadEw==,game 3,ru,FALSE,27
4btLP2zvi8eBV0t08fdkKQ==,game 3,ru,FALSE,20
zPcHw1fZkSGh7nJeVe2QYw==,game 3,ru,TRUE,14
OAAGTJfPU2ECPJT1KYm2ZQ==,game 3,uk,FALSE,22
