user_id,game_name,payment_date,revenue_amount_usd
fDgyPW0yy0+9ietMvl0vmA==,game 3,2022-08-18,5.29
MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,2022-08-09,6.37
b6lW5fOrJiJUE7dwhEp9VQ==,game 3,2022-05-04,11.94
nklUUkirU5GYU5ZtNOgx8w==,game 3,2022-10-25,6.19
06RPvlsFPCmM9ag+iSM/Ag==,game 3,2022-08-14,6.3
f9cWBjiN4c8lXAkBhdqK6Q==,game 3,2022-10-25,12.56
7L4SKPGMd33lnSOq6PWyYg==,game 3,2022-12-04,5.43
ngOdQ8biXsraLxTHS862fw==,game 3,2022-07-02,4.64
lHTzlMgVj6HJZc31yCCDng==,game 3,2022-11-11,4.91
FbbhrtuL39vfmatF2ObVfA==,game 3,2022-11-28,6.32
GetHmCsisRTAnwhuBEMa9Q==,game 3,2022-12-03,6.5
YC2fZQTQXV2UR1/WHDrVqw==,game 3,2022-11-06,5.8
e/6IajqZ922YY1rh2ErMJQ==,game 3,2022-12-17,4.5
dpfu6t8G4blqMn55KM8bSg==,game 3,2022-05-23,5.27
BOcGlFXXESDUbttxDzQIQw==,game 3,2022-08-29,5.83
QZBiEFECZAgVl5IkN9/cFw==,game 3,2022-05-14,4.88
orbgZNBGuhZZx63HTAbyIw==,game 3,2022-09-23,4.9
4oH5e29koOH9zNYW8Kwcsg==,game 3,2022-07-06,6.02
pLOCMIX+imLIzoDehgdOPA==,game 3,2022-05-29,7.03
Y/nf8iBu/UCaNAuIRRjVwA==,game 3,2022-09-25,6.72
ZU1vF9G4TjB+iEZ001MU3g==,game 3,2022-07-03,7.4
wjWDL/+l9D+LVt/9gNMH5Q==,game 3,2022-10-17,7.89
2FYEYdoJMUOtbJ6TruruWA==,game 3,2022-10-29,6.32
MSxDpyVU8A+9Wgmnb8b1IQ==,game 3,2022-10-30,13.78
BOcGlFXXESDUbttxDzQIQw==,game 3,2022-09-09,5.81
e/6IajqZ922YY1rh2ErMJQ==,game 3,2022-06-25,6.12
ZxxZ87IcpgSh4lQ/VSIjnA==,game 3,2022-07-29,6.41
hi1ErLiMLDP0HWvMqLKv6g==,game 3,2022-11-10,6.57
RQBsCvxlogTNUidSygqgcQ==,game 3,2022-08-04,6.68
eLWkkjmSeHVGjb9tp+CJpQ==,game 3,2022-08-05,5.88
IdKyooyTjAbvCA7p+ujKCw==,game 3,2022-05-13,5.36
G9053rs6jbKItKUhrUdLew==,game 3,2022-09-29,4.18
GEAVJz1gd3SThbDZR01fcA==,game 3,2022-07-04,9.14
fuL+cD0zV6Gn4ypTYmXUgw==,game 3,2022-10-11,5.11
Hamw6F2EZmJfI2glmE2NEg==,game 3,2022-07-21,5.43
xnLJlU804PSS9tXKmm7gZQ==,game 3,2022-11-03,4.29
jQW6YmVUlZdePPY7F9NgMg==,game 3,2022-11-01,4.32
WRx4ye0bvLc4925ketwxzQ==,game 3,2022-12-25,10.49
fvYhEtD56gROaXqCi9/z/Q==,game 3,2022-10-07,7.98
er3/fOrRpmyqiRaC0CaFcg==,game 3,2022-06-13,12.76
9I0ppB2UxsJPIO8BpHQfEw==,game 3,2022-11-13,4.65
9IWUQ1iWPfYSSN2tWuVqMQ==,game 3,2022-06-24,5.81
An7gG7hfETivAjfokQv3Ww==,game 3,2022-09-08,11.67
