"ad_date","campaign_name","adset_name","spend","impressions","reach","clicks","leads","value","url_parameters"
2022-03-23,Expansion,Unknown,11542,9082,4447,43,1,13244,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2021-07-03,New items,Development,2511,5071,1932,181,2,1892,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2021-07-27,New items,Development,5101,7527,2863,138,5,7968,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2022-03-30,Expansion,Unknown,30495,11692,10661,107,0,44315,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2022-07-07,Expansion,Products,36203,3797,22445,134,0,30496,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2022-03-31,Expansion,Pretty,12167,12395,5800,129,5,8703,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2021-08-24,Electronics,Narrow,8744,78468,23656,294,10,14349,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-08-25,Wholesale,Interests,4785,14133,5777,166,2,4003,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-06-26,Wholesale,Starting up,3,117,80,1,0,2,utm_source=google&utm_mediun=cpc&utm_campaign=startup
2022-04-12,Expansion,Unknown,8203,3610,5429,55,1,11934,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2021-06-29,New items,Development,1291,2928,10995,177,2,1044,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2021-01-31,Discounts,True power,1269,4975,3145,56,1,1379,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-07-17,New items,Presents,333,234,387,8,0,391,utm_source=google&utm_mediun=cpc&utm_campaign=presents
2022-05-26,Hobbies,Quick,1712,14188,1861,59,2,1707,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-04-03,Expansion,Products,27416,3260,11787,99,4,34284,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2022-05-24,Hobbies,Abstract,2662,5092,16429,71,1,3939,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-05-25,Hobbies,Abstract,1710,12751,7163,48,0,1449,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-10-29,Expansion,Products,49801,26075,15090,81,0,67070,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2022-06-01,Hobbies,Specific,3658,12384,8452,41,3,3546,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-04-07,Expansion,Products,19282,15956,17488,89,3,12754,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2021-11-05,Wholesale,Wide,1315,4314,2769,50,2,1228,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-07-23,Electronics,Narrow,17467,55943,59874,330,5,27647,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-06-25,Wholesale,Interests,2516,4105,5003,50,1,2845,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-11-21,Wholesale,Wide,891,873,3089,14,0,1334,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2020-11-12,Discounts,Upgrades,66,180,129,7,0,76,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-08-27,Crazy discounts,Improvement,1480,3515,9056,127,3,2211,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2022-06-18,Hobbies,Tinkering,8757,49340,15130,195,3,6948,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-04-02,Hobbies,Tinkering,1072,44479,11145,330,6,1389,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-06-25,Promos,Parents,2522,19733,10117,56,1,1895,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-08-26,Electronics,Narrow,15246,28026,48569,214,12,21434,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-07-06,Wholesale,Wide,2591,6429,1264,35,1,3327,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-10-02,Wholesale,Interests,1871,5714,971,28,1,1528,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-10-24,Wholesale,Clean,590,930,3762,21,0,878,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-01-21,Discounts,True power,1791,9879,9560,69,3,1522,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-05-11,Hobbies,Outdoors,1175,37296,17783,73,5,918,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-09-17,Wholesale,Clean,4403,5662,7638,13,1,6035,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-07-24,Wholesale,Wide,9283,13839,2397,36,4,7737,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-07-30,Wholesale,Interests,2057,5126,2884,126,3,2824,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-10-26,Wholesale,Wide,842,1004,3230,23,1,1267,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2022-05-28,Hobbies,Slow,4106,19368,7033,138,2,4673,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-10-08,Wholesale,Interests,1482,4519,5377,38,0,2443,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-12-05,Wholesale,Wide,404,3483,6737,35,1,352,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-08-22,New items,Development,6655,17681,12196,169,0,9627,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2022-04-23,Expansion,Pretty,0,0,0,0,0,0,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2021-11-13,Wholesale,Clean,717,3433,4098,23,1,828,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-09-07,Wholesale,Clean,4854,8480,17401,82,0,7589,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2020-11-21,Discounts,True power,2137,5352,4128,447,6,3513,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-10-01,Wholesale,Clean,5043,8321,2247,70,2,8286,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-06-04,New items,Development,2533,7616,5858,175,0,3793,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2020-12-18,Discounts,True power,2355,8704,8927,163,1,2744,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-04-09,Expansion,Streaming,70807,10026,33232,315,1,78808,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2021-11-19,Wholesale,Interests,2433,674,2050,8,0,1792,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2020-12-11,Discounts,True power,2839,5284,7259,174,1,3105,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-06-22,Crazy discounts,Improvement,2264,16516,6546,140,0,3061,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2020-12-30,Discounts,True power,2772,8853,3328,199,3,3923,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-04-17,Expansion,Top gear,674,186,243,2,0,729,utm_source=google&utm_mediun=cpc&utm_campaign=top_gear
2021-09-14,Electronics,Narrow,23932,50032,42578,534,2,26468,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-09-19,Crazy discounts,Improvement,1952,11700,12691,80,2,1479,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2022-05-27,Hobbies,Tinkering,3437,14521,14271,100,2,2957,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-08-28,Promos,Parents,4842,26756,8860,85,5,5752,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-12-18,Wholesale,Interests,800,3061,1298,8,0,1262,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-09-15,Promos,Parents,10912,22865,20414,92,1,7179,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-08-22,Wholesale,Wide,825,3078,4175,17,1,858,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-08-04,Electronics,Narrow,25567,43569,19298,390,4,31926,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-04-12,Expansion,Pretty,26928,14086,12208,133,5,37037,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2022-03-23,Expansion,Streaming,50500,31250,4784,367,4,38213,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2020-11-16,Discounts,True power,2760,17001,8890,597,12,3555,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-07-27,Electronics,Narrow,6797,82097,58744,197,14,7038,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-07-09,Electronics,Narrow,24648,63016,53665,94,8,21338,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-09-04,Crazy discounts,Improvement,1468,1796,5589,159,6,2246,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2022-04-18,Expansion,Streaming,60641,40073,52831,307,8,74619,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2021-09-30,Wholesale,Clean,4288,4031,5985,79,2,5414,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2022-01-02,Wholesale,Wide,0,0,0,0,0,0,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-10-07,Electronics,Narrow,4979,23534,34962,118,1,6899,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-10-22,Wholesale,Interests,1685,4056,4579,22,0,2620,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-06-26,Electronics,Narrow,1282,20204,16304,114,2,1093,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-09-28,Wholesale,Clean,1218,6540,6004,35,3,1830,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2022-07-01,Hobbies,Quick,1629,1532,7277,9,0,2231,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-05-25,Hobbies,Slow,6664,10355,22486,101,1,4610,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2020-11-27,Discounts,True power,1827,9779,3874,208,6,2800,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2022-06-18,Expansion,Products,16741,10324,10032,16,4,26800,utm_source=google&utm_mediun=cpc&utm_campaign=upgrade
2021-09-26,Wholesale,Wide,22,51,59,0,0,28,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2022-04-25,Hobbies,Outdoors,10746,56874,12193,457,3,13427,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2021-08-10,New items,Development,987,4069,1402,48,0,1603,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2021-06-24,New items,Development,3128,3794,6071,28,1,3597,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2020-11-23,Discounts,True power,2762,4664,10765,47,7,4419,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-07-12,Crazy discounts,Improvement,2883,7619,6297,78,1,4129,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2022-05-21,Hobbies,Outdoors,5672,10471,16007,61,4,6698,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
2022-04-01,Expansion,Streaming,17421,19004,22879,499,5,11581,utm_source=google&utm_mediun=cpc&utm_campaign=twitch
2021-10-22,Wholesale,Clean,1187,3779,682,37,0,1639,utm_source=google&utm_mediun=cpc&utm_campaign=cheap
2021-07-20,Crazy discounts,Improvement,1382,10360,12354,254,6,1298,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2022-04-11,Expansion,Top gear,1000,105,102,5,0,718,utm_source=google&utm_mediun=cpc&utm_campaign=top_gear
2021-11-04,Wholesale,Interests,1214,4451,4397,39,2,891,utm_source=google&utm_mediun=cpc&utm_campaign=hobby
2021-05-31,Electronics,Narrow,378,6419,3442,59,0,343,utm_source=google&utm_mediun=cpc&utm_campaign=discounts
2021-08-20,Crazy discounts,Improvement,1457,16382,6481,85,4,2291,utm_source=google&utm_mediun=cpc&utm_campaign=nan
2022-07-04,Hobbies,Tinkering,0,0,0,0,0,0,utm_source=google&utm_mediun=cpc&utm_campaign=upgrades
